dj,position,year
ATB,42,2011
ATB,15,2012
ATB,8,2013
ATB,10,2014
ATB,10,2015
ATB,7,2016
ATB,9,2017
ATB,11,2018
ATB,10,2019
ATB,9,2020
ATB,10,2021
ATB,7,2022
ATB,8,2023
Beauz,42,2011
Beauz,15,2012
Beauz,8,2013
Beauz,10,2014
Beauz,10,2015
Beauz,7,2016
Beauz,9,2017
Beauz,11,2018
Beauz,10,2019
Beauz,9,2020
Beauz,10,2021
Beauz,7,2022
Beauz,8,2023
VINAI,42,2011
VINAI,15,2012
VINAI,8,2013
VINAI,10,2014
VINAI,10,2015
VINAI,7,2016
VINAI,9,2017
VINAI,11,2018
VINAI,10,2019
VINAI,9,2020
VINAI,10,2021
VINAI,7,2022
VINAI,8,2023
Alesso,42,2011
Alesso,15,2012
Alesso,8,2013
Alesso,10,2014
Alesso,10,2015
Alesso,7,2016
Alesso,9,2017
Alesso,11,2018
Alesso,10,2019
Alesso,9,2020
Alesso,10,2021
Alesso,7,2022
Alesso,8,2023
Nora-En-Pure,42,2011
Nora-En-Pure,15,2012
Nora-En-Pure,8,2013
Nora-En-Pure,10,2014
Nora-En-Pure,10,2015
Nora-En-Pure,7,2016
Nora-En-Pure,9,2017
Nora-En-Pure,11,2018
Nora-En-Pure,10,2019
Nora-En-Pure,9,2020
Nora-En-Pure,10,2021
Nora-En-Pure,7,2022
Nora-En-Pure,8,2023
Tujamo,42,2011
Tujamo,15,2012
Tujamo,8,2013
Tujamo,10,2014
Tujamo,10,2015
Tujamo,7,2016
Tujamo,9,2017
Tujamo,11,2018
Tujamo,10,2019
Tujamo,9,2020
Tujamo,10,2021
Tujamo,7,2022
Tujamo,8,2023
Boris-Brejcha,42,2011
Boris-Brejcha,15,2012
Boris-Brejcha,8,2013
Boris-Brejcha,10,2014
Boris-Brejcha,10,2015
Boris-Brejcha,7,2016
Boris-Brejcha,9,2017
Boris-Brejcha,11,2018
Boris-Brejcha,10,2019
Boris-Brejcha,9,2020
Boris-Brejcha,10,2021
Boris-Brejcha,7,2022
Boris-Brejcha,8,2023
REZZ,42,2011
REZZ,15,2012
REZZ,8,2013
REZZ,10,2014
REZZ,10,2015
REZZ,7,2016
REZZ,9,2017
REZZ,11,2018
REZZ,10,2019
REZZ,9,2020
REZZ,10,2021
REZZ,7,2022
REZZ,8,2023
Topic,42,2011
Topic,15,2012
Topic,8,2013
Topic,10,2014
Topic,10,2015
Topic,7,2016
Topic,9,2017
Topic,11,2018
Topic,10,2019
Topic,9,2020
Topic,10,2021
Topic,7,2022
Topic,8,2023
Blasterjaxx,42,2011
Blasterjaxx,15,2012
Blasterjaxx,8,2013
Blasterjaxx,10,2014
Blasterjaxx,10,2015
Blasterjaxx,7,2016
Blasterjaxx,9,2017
Blasterjaxx,11,2018
Blasterjaxx,10,2019
Blasterjaxx,9,2020
Blasterjaxx,10,2021
Blasterjaxx,7,2022
Blasterjaxx,8,2023
KAAZE,42,2011
KAAZE,15,2012
KAAZE,8,2013
KAAZE,10,2014
KAAZE,10,2015
KAAZE,7,2016
KAAZE,9,2017
KAAZE,11,2018
KAAZE,10,2019
KAAZE,9,2020
KAAZE,10,2021
KAAZE,7,2022
KAAZE,8,2023
The-Martinez-Brothers,42,2011
The-Martinez-Brothers,15,2012
The-Martinez-Brothers,8,2013
The-Martinez-Brothers,10,2014
The-Martinez-Brothers,10,2015
The-Martinez-Brothers,7,2016
The-Martinez-Brothers,9,2017
The-Martinez-Brothers,11,2018
The-Martinez-Brothers,10,2019
The-Martinez-Brothers,9,2020
The-Martinez-Brothers,10,2021
The-Martinez-Brothers,7,2022
The-Martinez-Brothers,8,2023
Adam-Beyer,42,2011
Adam-Beyer,15,2012
Adam-Beyer,8,2013
Adam-Beyer,10,2014
Adam-Beyer,10,2015
Adam-Beyer,7,2016
Adam-Beyer,9,2017
Adam-Beyer,11,2018
Adam-Beyer,10,2019
Adam-Beyer,9,2020
Adam-Beyer,10,2021
Adam-Beyer,7,2022
Adam-Beyer,8,2023
Kura,42,2011
Kura,15,2012
Kura,8,2013
Kura,10,2014
Kura,10,2015
Kura,7,2016
Kura,9,2017
Kura,11,2018
Kura,10,2019
Kura,9,2020
Kura,10,2021
Kura,7,2022
Kura,8,2023
Swedish-House-Mafia,42,2011
Swedish-House-Mafia,15,2012
Swedish-House-Mafia,8,2013
Swedish-House-Mafia,10,2014
Swedish-House-Mafia,10,2015
Swedish-House-Mafia,7,2016
Swedish-House-Mafia,9,2017
Swedish-House-Mafia,11,2018
Swedish-House-Mafia,10,2019
Swedish-House-Mafia,9,2020
Swedish-House-Mafia,10,2021
Swedish-House-Mafia,7,2022
Swedish-House-Mafia,8,2023
Dubdogz,42,2011
Dubdogz,15,2012
Dubdogz,8,2013
Dubdogz,10,2014
Dubdogz,10,2015
Dubdogz,7,2016
Dubdogz,9,2017
Dubdogz,11,2018
Dubdogz,10,2019
Dubdogz,9,2020
Dubdogz,10,2021
Dubdogz,7,2022
Dubdogz,8,2023
Deadmau5,42,2011
Deadmau5,15,2012
Deadmau5,8,2013
Deadmau5,10,2014
Deadmau5,10,2015
Deadmau5,7,2016
Deadmau5,9,2017
Deadmau5,11,2018
Deadmau5,10,2019
Deadmau5,9,2020
Deadmau5,10,2021
Deadmau5,7,2022
Deadmau5,8,2023
Mike-Williams,42,2011
Mike-Williams,15,2012
Mike-Williams,8,2013
Mike-Williams,10,2014
Mike-Williams,10,2015
Mike-Williams,7,2016
Mike-Williams,9,2017
Mike-Williams,11,2018
Mike-Williams,10,2019
Mike-Williams,9,2020
Mike-Williams,10,2021
Mike-Williams,7,2022
Mike-Williams,8,2023
Burak-Yeter,42,2011
Burak-Yeter,15,2012
Burak-Yeter,8,2013
Burak-Yeter,10,2014
Burak-Yeter,10,2015
Burak-Yeter,7,2016
Burak-Yeter,9,2017
Burak-Yeter,11,2018
Burak-Yeter,10,2019
Burak-Yeter,9,2020
Burak-Yeter,10,2021
Burak-Yeter,7,2022
Burak-Yeter,8,2023
Julian-Jordan,42,2011
Julian-Jordan,15,2012
Julian-Jordan,8,2013
Julian-Jordan,10,2014
Julian-Jordan,10,2015
Julian-Jordan,7,2016
Julian-Jordan,9,2017
Julian-Jordan,11,2018
Julian-Jordan,10,2019
Julian-Jordan,9,2020
Julian-Jordan,10,2021
Julian-Jordan,7,2022
Julian-Jordan,8,2023
Ummet-Ozcan,42,2011
Ummet-Ozcan,15,2012
Ummet-Ozcan,8,2013
Ummet-Ozcan,10,2014
Ummet-Ozcan,10,2015
Ummet-Ozcan,7,2016
Ummet-Ozcan,9,2017
Ummet-Ozcan,11,2018
Ummet-Ozcan,10,2019
Ummet-Ozcan,9,2020
Ummet-Ozcan,10,2021
Ummet-Ozcan,7,2022
Ummet-Ozcan,8,2023
Cat-Dealers,42,2011
Cat-Dealers,15,2012
Cat-Dealers,8,2013
Cat-Dealers,10,2014
Cat-Dealers,10,2015
Cat-Dealers,7,2016
Cat-Dealers,9,2017
Cat-Dealers,11,2018
Cat-Dealers,10,2019
Cat-Dealers,9,2020
Cat-Dealers,10,2021
Cat-Dealers,7,2022
Cat-Dealers,8,2023
Angerfist,42,2011
Angerfist,15,2012
Angerfist,8,2013
Angerfist,10,2014
Angerfist,10,2015
Angerfist,7,2016
Angerfist,9,2017
Angerfist,11,2018
Angerfist,10,2019
Angerfist,9,2020
Angerfist,10,2021
Angerfist,7,2022
Angerfist,8,2023
Plastik-Funk,42,2011
Plastik-Funk,15,2012
Plastik-Funk,8,2013
Plastik-Funk,10,2014
Plastik-Funk,10,2015
Plastik-Funk,7,2016
Plastik-Funk,9,2017
Plastik-Funk,11,2018
Plastik-Funk,10,2019
Plastik-Funk,9,2020
Plastik-Funk,10,2021
Plastik-Funk,7,2022
Plastik-Funk,8,2023
Tungevaag,42,2011
Tungevaag,15,2012
Tungevaag,8,2013
Tungevaag,10,2014
Tungevaag,10,2015
Tungevaag,7,2016
Tungevaag,9,2017
Tungevaag,11,2018
Tungevaag,10,2019
Tungevaag,9,2020
Tungevaag,10,2021
Tungevaag,7,2022
Tungevaag,8,2023
Acraze,42,2011
Acraze,15,2012
Acraze,8,2013
Acraze,10,2014
Acraze,10,2015
Acraze,7,2016
Acraze,9,2017
Acraze,11,2018
Acraze,10,2019
Acraze,9,2020
Acraze,10,2021
Acraze,7,2022
Acraze,8,2023
Tom--Collins,42,2011
Tom--Collins,15,2012
Tom--Collins,8,2013
Tom--Collins,10,2014
Tom--Collins,10,2015
Tom--Collins,7,2016
Tom--Collins,9,2017
Tom--Collins,11,2018
Tom--Collins,10,2019
Tom--Collins,9,2020
Tom--Collins,10,2021
Tom--Collins,7,2022
Tom--Collins,8,2023
Deorro,42,2011
Deorro,15,2012
Deorro,8,2013
Deorro,10,2014
Deorro,10,2015
Deorro,7,2016
Deorro,9,2017
Deorro,11,2018
Deorro,10,2019
Deorro,9,2020
Deorro,10,2021
Deorro,7,2022
Deorro,8,2023
Ofenbach,42,2011
Ofenbach,15,2012
Ofenbach,8,2013
Ofenbach,10,2014
Ofenbach,10,2015
Ofenbach,7,2016
Ofenbach,9,2017
Ofenbach,11,2018
Ofenbach,10,2019
Ofenbach,9,2020
Ofenbach,10,2021
Ofenbach,7,2022
Ofenbach,8,2023
22Bullets,42,2011
22Bullets,15,2012
22Bullets,8,2013
22Bullets,10,2014
22Bullets,10,2015
22Bullets,7,2016
22Bullets,9,2017
22Bullets,11,2018
22Bullets,10,2019
22Bullets,9,2020
22Bullets,10,2021
22Bullets,7,2022
22Bullets,8,2023
Brennan-Heart,42,2011
Brennan-Heart,15,2012
Brennan-Heart,8,2013
Brennan-Heart,10,2014
Brennan-Heart,10,2015
Brennan-Heart,7,2016
Brennan-Heart,9,2017
Brennan-Heart,11,2018
Brennan-Heart,10,2019
Brennan-Heart,9,2020
Brennan-Heart,10,2021
Brennan-Heart,7,2022
Brennan-Heart,8,2023
Diego-Miranda,42,2011
Diego-Miranda,15,2012
Diego-Miranda,8,2013
Diego-Miranda,10,2014
Diego-Miranda,10,2015
Diego-Miranda,7,2016
Diego-Miranda,9,2017
Diego-Miranda,11,2018
Diego-Miranda,10,2019
Diego-Miranda,9,2020
Diego-Miranda,10,2021
Diego-Miranda,7,2022
Diego-Miranda,8,2023
Lucas--Steve,42,2011
Lucas--Steve,15,2012
Lucas--Steve,8,2013
Lucas--Steve,10,2014
Lucas--Steve,10,2015
Lucas--Steve,7,2016
Lucas--Steve,9,2017
Lucas--Steve,11,2018
Lucas--Steve,10,2019
Lucas--Steve,9,2020
Lucas--Steve,10,2021
Lucas--Steve,7,2022
Lucas--Steve,8,2023
Aryue,42,2011
Aryue,15,2012
Aryue,8,2013
Aryue,10,2014
Aryue,10,2015
Aryue,7,2016
Aryue,9,2017
Aryue,11,2018
Aryue,10,2019
Aryue,9,2020
Aryue,10,2021
Aryue,7,2022
Aryue,8,2023
James-Hype,42,2011
James-Hype,15,2012
James-Hype,8,2013
James-Hype,10,2014
James-Hype,10,2015
James-Hype,7,2016
James-Hype,9,2017
James-Hype,11,2018
James-Hype,10,2019
James-Hype,9,2020
James-Hype,10,2021
James-Hype,7,2022
James-Hype,8,2023
Le-Twins,42,2011
Le-Twins,15,2012
Le-Twins,8,2013
Le-Twins,10,2014
Le-Twins,10,2015
Le-Twins,7,2016
Le-Twins,9,2017
Le-Twins,11,2018
Le-Twins,10,2019
Le-Twins,9,2020
Le-Twins,10,2021
Le-Twins,7,2022
Le-Twins,8,2023
Pink-Panda,42,2011
Pink-Panda,15,2012
Pink-Panda,8,2013
Pink-Panda,10,2014
Pink-Panda,10,2015
Pink-Panda,7,2016
Pink-Panda,9,2017
Pink-Panda,11,2018
Pink-Panda,10,2019
Pink-Panda,9,2020
Pink-Panda,10,2021
Pink-Panda,7,2022
Pink-Panda,8,2023
KAKA,42,2011
KAKA,15,2012
KAKA,8,2013
KAKA,10,2014
KAKA,10,2015
KAKA,7,2016
KAKA,9,2017
KAKA,11,2018
KAKA,10,2019
KAKA,9,2020
KAKA,10,2021
KAKA,7,2022
KAKA,8,2023
Naeleck,42,2011
Naeleck,15,2012
Naeleck,8,2013
Naeleck,10,2014
Naeleck,10,2015
Naeleck,7,2016
Naeleck,9,2017
Naeleck,11,2018
Naeleck,10,2019
Naeleck,9,2020
Naeleck,10,2021
Naeleck,7,2022
Naeleck,8,2023
MARTEN-HØRGER,42,2011
MARTEN-HØRGER,15,2012
MARTEN-HØRGER,8,2013
MARTEN-HØRGER,10,2014
MARTEN-HØRGER,10,2015
MARTEN-HØRGER,7,2016
MARTEN-HØRGER,9,2017
MARTEN-HØRGER,11,2018
MARTEN-HØRGER,10,2019
MARTEN-HØRGER,9,2020
MARTEN-HØRGER,10,2021
MARTEN-HØRGER,7,2022
MARTEN-HØRGER,8,2023
Ferry-Corsten,42,2011
Ferry-Corsten,15,2012
Ferry-Corsten,8,2013
Ferry-Corsten,10,2014
Ferry-Corsten,10,2015
Ferry-Corsten,7,2016
Ferry-Corsten,9,2017
Ferry-Corsten,11,2018
Ferry-Corsten,10,2019
Ferry-Corsten,9,2020
Ferry-Corsten,10,2021
Ferry-Corsten,7,2022
Ferry-Corsten,8,2023
MORTEN,42,2011
MORTEN,15,2012
MORTEN,8,2013
MORTEN,10,2014
MORTEN,10,2015
MORTEN,7,2016
MORTEN,9,2017
MORTEN,11,2018
MORTEN,10,2019
MORTEN,9,2020
MORTEN,10,2021
MORTEN,7,2022
MORTEN,8,2023
Kölsch,42,2011
Kölsch,15,2012
Kölsch,8,2013
Kölsch,10,2014
Kölsch,10,2015
Kölsch,7,2016
Kölsch,9,2017
Kölsch,11,2018
Kölsch,10,2019
Kölsch,9,2020
Kölsch,10,2021
Kölsch,7,2022
Kölsch,8,2023
Rave-Republic,42,2011
Rave-Republic,15,2012
Rave-Republic,8,2013
Rave-Republic,10,2014
Rave-Republic,10,2015
Rave-Republic,7,2016
Rave-Republic,9,2017
Rave-Republic,11,2018
Rave-Republic,10,2019
Rave-Republic,9,2020
Rave-Republic,10,2021
Rave-Republic,7,2022
Rave-Republic,8,2023
Cuebrick,42,2011
Cuebrick,15,2012
Cuebrick,8,2013
Cuebrick,10,2014
Cuebrick,10,2015
Cuebrick,7,2016
Cuebrick,9,2017
Cuebrick,11,2018
Cuebrick,10,2019
Cuebrick,9,2020
Cuebrick,10,2021
Cuebrick,7,2022
Cuebrick,8,2023
Solomun,42,2011
Solomun,15,2012
Solomun,8,2013
Solomun,10,2014
Solomun,10,2015
Solomun,7,2016
Solomun,9,2017
Solomun,11,2018
Solomun,10,2019
Solomun,9,2020
Solomun,10,2021
Solomun,7,2022
Solomun,8,2023
Maddix,42,2011
Maddix,15,2012
Maddix,8,2013
Maddix,10,2014
Maddix,10,2015
Maddix,7,2016
Maddix,9,2017
Maddix,11,2018
Maddix,10,2019
Maddix,9,2020
Maddix,10,2021
Maddix,7,2022
Maddix,8,2023
Lizzy-Wang,42,2011
Lizzy-Wang,15,2012
Lizzy-Wang,8,2013
Lizzy-Wang,10,2014
Lizzy-Wang,10,2015
Lizzy-Wang,7,2016
Lizzy-Wang,9,2017
Lizzy-Wang,11,2018
Lizzy-Wang,10,2019
Lizzy-Wang,9,2020
Lizzy-Wang,10,2021
Lizzy-Wang,7,2022
Lizzy-Wang,8,2023
Indira-Paganotto,42,2011
Indira-Paganotto,15,2012
Indira-Paganotto,8,2013
Indira-Paganotto,10,2014
Indira-Paganotto,10,2015
Indira-Paganotto,7,2016
Indira-Paganotto,9,2017
Indira-Paganotto,11,2018
Indira-Paganotto,10,2019
Indira-Paganotto,9,2020
Indira-Paganotto,10,2021
Indira-Paganotto,7,2022
Indira-Paganotto,8,2023
Liu,42,2011
Liu,15,2012
Liu,8,2013
Liu,10,2014
Liu,10,2015
Liu,7,2016
Liu,9,2017
Liu,11,2018
Liu,10,2019
Liu,9,2020
Liu,10,2021
Liu,7,2022
Liu,8,2023
Le-Shuuk,42,2011
Le-Shuuk,15,2012
Le-Shuuk,8,2013
Le-Shuuk,10,2014
Le-Shuuk,10,2015
Le-Shuuk,7,2016
Le-Shuuk,9,2017
Le-Shuuk,11,2018
Le-Shuuk,10,2019
Le-Shuuk,9,2020
Le-Shuuk,10,2021
Le-Shuuk,7,2022
Le-Shuuk,8,2023
Jay-Hardway,42,2011
Jay-Hardway,15,2012
Jay-Hardway,8,2013
Jay-Hardway,10,2014
Jay-Hardway,10,2015
Jay-Hardway,7,2016
Jay-Hardway,9,2017
Jay-Hardway,11,2018
Jay-Hardway,10,2019
Jay-Hardway,9,2020
Jay-Hardway,10,2021
Jay-Hardway,7,2022
Jay-Hardway,8,2023
